Call Type,Incident Number,Battalion,Station Area,Call Type Group,nodeID,parentID
Medical Incident,1,B04,37,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Citizen Assist / Service Call,308,B04,10,Alarm,Alarm.Citizen Assist / Service Call.B04,Alarm.Citizen Assist / Service Call
Industrial Accidents,5,B10,9,Fire,Fire.Industrial Accidents.B10,Fire.Industrial Accidents
Elevator / Escalator Rescue,211,B03,35,Alarm,Alarm.Elevator / Escalator Rescue.B03,Alarm.Elevator / Escalator Rescue
Outside Fire,508,B01,28,Fire,Fire.Outside Fire.B01,Fire.Outside Fire
HazMat,5,B05,6,Fire,Fire.HazMat.B05,Fire.HazMat
Traffic Collision,1,B07,29,Non Life-threatening,Non Life-threatening.Traffic Collision.B07,Non Life-threatening.Traffic Collision
Vehicle Fire,49,B08,39,Fire,Fire.Vehicle Fire.B08,Fire.Vehicle Fire
Outside Fire,458,B04,16,Fire,Fire.Outside Fire.B04,Fire.Outside Fire
Outside Fire,110,B06,26,Fire,Fire.Outside Fire.B06,Fire.Outside Fire
Traffic Collision,4,B06,33,Non Life-threatening,Non Life-threatening.Traffic Collision.B06,Non Life-threatening.Traffic Collision
Medical Incident,5,B09,44,Alarm,Alarm.Medical Incident.B09,Alarm.Medical Incident
Medical Incident,34,B09,42,Alarm,Alarm.Medical Incident.B09,Alarm.Medical Incident
Gas Leak (Natural and LP Gases),1,B05,,Alarm,Alarm.Gas Leak (Natural and LP Gases).B05,Alarm.Gas Leak (Natural and LP Gases)
Outside Fire,1,B09,7,Fire,Fire.Outside Fire.B09,Fire.Outside Fire
Other,222,B06,24,Alarm,Alarm.Other.B06,Alarm.Other
HazMat,9,B10,44,Alarm,Alarm.HazMat.B10,Alarm.HazMat
Medical Incident,1,B100,,Non Life-threatening,Non Life-threatening.Medical Incident.B100,Non Life-threatening.Medical Incident
HazMat,4,B10,42,Alarm,Alarm.HazMat.B10,Alarm.HazMat
HazMat,13,B03,1,Fire,Fire.HazMat.B03,Fire.HazMat
Industrial Accidents,12,B02,29,Fire,Fire.Industrial Accidents.B02,Fire.Industrial Accidents
HazMat,9,B07,34,Alarm,Alarm.HazMat.B07,Alarm.HazMat
Outside Fire,612,B02,7,Fire,Fire.Outside Fire.B02,Fire.Outside Fire
Assist Police,4,B06,24,Alarm,Alarm.Assist Police.B06,Alarm.Assist Police
Medical Incident,2,B08,7,Non Life-threatening,Non Life-threatening.Medical Incident.B08,Non Life-threatening.Medical Incident
HazMat,3,B05,24,Alarm,Alarm.HazMat.B05,Alarm.HazMat
Medical Incident,25,B02,5,Alarm,Alarm.Medical Incident.B02,Alarm.Medical Incident
Assist Police,13,B06,32,Alarm,Alarm.Assist Police.B06,Alarm.Assist Police
Gas Leak (Natural and LP Gases),9,B10,7,Alarm,Alarm.Gas Leak (Natural and LP Gases).B10,Alarm.Gas Leak (Natural and LP Gases)
Odor (Strange / Unknown),1,B07,,Alarm,Alarm.Odor (Strange / Unknown).B07,Alarm.Odor (Strange / Unknown)
Smoke Investigation (Outside),82,B09,32,Alarm,Alarm.Smoke Investigation (Outside).B09,Alarm.Smoke Investigation (Outside)
Other,84,B02,6,Non Life-threatening,Non Life-threatening.Other.B02,Non Life-threatening.Other
Gas Leak (Natural and LP Gases),12,B08,12,Alarm,Alarm.Gas Leak (Natural and LP Gases).B08,Alarm.Gas Leak (Natural and LP Gases)
Industrial Accidents,4,B09,43,Fire,Fire.Industrial Accidents.B09,Fire.Industrial Accidents
Medical Incident,23,B02,21,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Medical Incident,1,B07,51,Non Life-threatening,Non Life-threatening.Medical Incident.B07,Non Life-threatening.Medical Incident
Fuel Spill,15,B07,10,Alarm,Alarm.Fuel Spill.B07,Alarm.Fuel Spill
Assist Police,10,B08,39,Alarm,Alarm.Assist Police.B08,Alarm.Assist Police
Medical Incident,16,B02,31,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Gas Leak (Natural and LP Gases),23,B08,20,Alarm,Alarm.Gas Leak (Natural and LP Gases).B08,Alarm.Gas Leak (Natural and LP Gases)
Other,22,B03,8,Fire,Fire.Other.B03,Fire.Other
Structure Fire,21,B10,14,Alarm,Alarm.Structure Fire.B10,Alarm.Structure Fire
HazMat,7,B09,33,Fire,Fire.HazMat.B09,Fire.HazMat
Other,91,B10,17,Non Life-threatening,Non Life-threatening.Other.B10,Non Life-threatening.Other
"Extrication / Entrapped (Machinery, Vehicle)",8,B02,36,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B02","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Explosion,12,B04,10,Fire,Fire.Explosion.B04,Fire.Explosion
Citizen Assist / Service Call,1,B07,1,Alarm,Alarm.Citizen Assist / Service Call.B07,Alarm.Citizen Assist / Service Call
Traffic Collision,474,B05,10,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B05,Potentially Life-Threatening.Traffic Collision
Medical Incident,11,B03,7,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B03,Potentially Life-Threatening.Medical Incident
Smoke Investigation (Outside),31,B03,3,Alarm,Alarm.Smoke Investigation (Outside).B03,Alarm.Smoke Investigation (Outside)
Medical Incident,18,B06,37,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Fuel Spill,15,B04,5,Alarm,Alarm.Fuel Spill.B04,Alarm.Fuel Spill
Water Rescue,1321,B08,19,Fire,Fire.Water Rescue.B08,Fire.Water Rescue
Other,2,B07,23,Alarm,Alarm.Other.B07,Alarm.Other
Confined Space / Structure Collapse,7,B03,4,Fire,Fire.Confined Space / Structure Collapse.B03,Fire.Confined Space / Structure Collapse
Structure Fire,14098,B02,36,Alarm,Alarm.Structure Fire.B02,Alarm.Structure Fire
Traffic Collision,2429,B02,36,Non Life-threatening,Non Life-threatening.Traffic Collision.B02,Non Life-threatening.Traffic Collision
Traffic Collision,102,B05,24,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B05,Potentially Life-Threatening.Traffic Collision
Other,3,B02,18,Alarm,Alarm.Other.B02,Alarm.Other
Citizen Assist / Service Call,332,B06,24,Alarm,Alarm.Citizen Assist / Service Call.B06,Alarm.Citizen Assist / Service Call
Odor (Strange / Unknown),77,B06,7,Alarm,Alarm.Odor (Strange / Unknown).B06,Alarm.Odor (Strange / Unknown)
Medical Incident,2897,B08,33,Non Life-threatening,Non Life-threatening.Medical Incident.B08,Non Life-threatening.Medical Incident
Traffic Collision,6,B10,5,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B10,Potentially Life-Threatening.Traffic Collision
Odor (Strange / Unknown),4,B03,37,Alarm,Alarm.Odor (Strange / Unknown).B03,Alarm.Odor (Strange / Unknown)
Medical Incident,4,B07,6,Non Life-threatening,Non Life-threatening.Medical Incident.B07,Non Life-threatening.Medical Incident
Odor (Strange / Unknown),14,B09,26,Alarm,Alarm.Odor (Strange / Unknown).B09,Alarm.Odor (Strange / Unknown)
Traffic Collision,1314,B10,42,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B10,Potentially Life-Threatening.Traffic Collision
Other,30,B07,14,Non Life-threatening,Non Life-threatening.Other.B07,Non Life-threatening.Other
Traffic Collision,1092,B10,44,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B10,Potentially Life-Threatening.Traffic Collision
Odor (Strange / Unknown),3,B08,23,Fire,Fire.Odor (Strange / Unknown).B08,Fire.Odor (Strange / Unknown)
Medical Incident,2,B09,1,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B09,Potentially Life-Threatening.Medical Incident
Water Rescue,3782,B99,51,Fire,Fire.Water Rescue.B99,Fire.Water Rescue
Medical Incident,4,B05,25,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Odor (Strange / Unknown),114,B01,41,Alarm,Alarm.Odor (Strange / Unknown).B01,Alarm.Odor (Strange / Unknown)
Citizen Assist / Service Call,422,B06,32,Alarm,Alarm.Citizen Assist / Service Call.B06,Alarm.Citizen Assist / Service Call
Elevator / Escalator Rescue,32,B10,25,Alarm,Alarm.Elevator / Escalator Rescue.B10,Alarm.Elevator / Escalator Rescue
Smoke Investigation (Outside),60,B03,29,Alarm,Alarm.Smoke Investigation (Outside).B03,Alarm.Smoke Investigation (Outside)
Traffic Collision,776,B07,34,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B07,Potentially Life-Threatening.Traffic Collision
Medical Incident,27,B10,4,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B10,Potentially Life-Threatening.Medical Incident
Medical Incident,432,B07,22,Non Life-threatening,Non Life-threatening.Medical Incident.B07,Non Life-threatening.Medical Incident
Other,2,B09,40,Alarm,Alarm.Other.B09,Alarm.Other
Other,232,B04,10,Alarm,Alarm.Other.B04,Alarm.Other
Structure Fire,599,B10,37,Fire,Fire.Structure Fire.B10,Fire.Structure Fire
Industrial Accidents,11,B02,3,Fire,Fire.Industrial Accidents.B02,Fire.Industrial Accidents
HazMat,13,B04,16,Fire,Fire.HazMat.B04,Fire.HazMat
Smoke Investigation (Outside),70,B03,35,Alarm,Alarm.Smoke Investigation (Outside).B03,Alarm.Smoke Investigation (Outside)
Medical Incident,4,B07,18,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Medical Incident,3,B02,23,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B02,Potentially Life-Threatening.Medical Incident
Outside Fire,575,B05,6,Fire,Fire.Outside Fire.B05,Fire.Outside Fire
Medical Incident,12076,B02,5,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B02,Potentially Life-Threatening.Medical Incident
Electrical Hazard,142,B10,37,Alarm,Alarm.Electrical Hazard.B10,Alarm.Electrical Hazard
HazMat,10,B05,10,Alarm,Alarm.HazMat.B05,Alarm.HazMat
Medical Incident,10,B01,6,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B01,Potentially Life-Threatening.Medical Incident
Citizen Assist / Service Call,451,B08,39,Alarm,Alarm.Citizen Assist / Service Call.B08,Alarm.Citizen Assist / Service Call
Gas Leak (Natural and LP Gases),54,B03,4,Alarm,Alarm.Gas Leak (Natural and LP Gases).B03,Alarm.Gas Leak (Natural and LP Gases)
Outside Fire,1,B05,22,Fire,Fire.Outside Fire.B05,Fire.Outside Fire
Other,14,B07,21,Non Life-threatening,Non Life-threatening.Other.B07,Non Life-threatening.Other
Outside Fire,1,B99,35,Fire,Fire.Outside Fire.B99,Fire.Outside Fire
Outside Fire,1,B01,3,Alarm,Alarm.Outside Fire.B01,Alarm.Outside Fire
Structure Fire,324,B09,19,Alarm,Alarm.Structure Fire.B09,Alarm.Structure Fire
Other,40,B07,31,Non Life-threatening,Non Life-threatening.Other.B07,Non Life-threatening.Other
Vehicle Fire,50,B04,10,Fire,Fire.Vehicle Fire.B04,Fire.Vehicle Fire
Traffic Collision,69,B09,19,Non Life-threatening,Non Life-threatening.Traffic Collision.B09,Non Life-threatening.Traffic Collision
Medical Incident,7,B02,44,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B02,Potentially Life-Threatening.Medical Incident
Alarms,14273,B01,13,Alarm,Alarm.Alarms.B01,Alarm.Alarms
Medical Incident,6,B02,42,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B02,Potentially Life-Threatening.Medical Incident
Fuel Spill,1,B10,47,Alarm,Alarm.Fuel Spill.B10,Alarm.Fuel Spill
Explosion,20,B06,32,Fire,Fire.Explosion.B06,Fire.Explosion
Smoke Investigation (Outside),1,B06,13,Alarm,Alarm.Smoke Investigation (Outside).B06,Alarm.Smoke Investigation (Outside)
Medical Incident,7132,B09,44,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B09,Potentially Life-Threatening.Medical Incident
Medical Incident,14415,B01,13,Non Life-threatening,Non Life-threatening.Medical Incident.B01,Non Life-threatening.Medical Incident
Traffic Collision,7,B10,1,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B10,Potentially Life-Threatening.Traffic Collision
Elevator / Escalator Rescue,4,B09,32,Alarm,Alarm.Elevator / Escalator Rescue.B09,Alarm.Elevator / Escalator Rescue
Water Rescue,104,B03,4,Fire,Fire.Water Rescue.B03,Fire.Water Rescue
Medical Incident,3397,B09,42,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B09,Potentially Life-Threatening.Medical Incident
Other,9,B06,24,Potentially Life-Threatening,Potentially Life-Threatening.Other.B06,Potentially Life-Threatening.Other
Medical Incident,7,B07,40,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Odor (Strange / Unknown),13,B09,19,Alarm,Alarm.Odor (Strange / Unknown).B09,Alarm.Odor (Strange / Unknown)
Other,1,B10,29,Non Life-threatening,Non Life-threatening.Other.B10,Non Life-threatening.Other
Medical Incident,1,B05,38,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Outside Fire,1279,B03,1,Fire,Fire.Outside Fire.B03,Fire.Outside Fire
Other,40,B06,32,Potentially Life-Threatening,Potentially Life-Threatening.Other.B06,Potentially Life-Threatening.Other
Outside Fire,6,B10,42,Alarm,Alarm.Outside Fire.B10,Alarm.Outside Fire
Traffic Collision,1,B07,3,Non Life-threatening,Non Life-threatening.Traffic Collision.B07,Non Life-threatening.Traffic Collision
Explosion,18,B06,24,Fire,Fire.Explosion.B06,Fire.Explosion
Outside Fire,7,B07,34,Alarm,Alarm.Outside Fire.B07,Alarm.Outside Fire
HazMat,3,B02,7,Fire,Fire.HazMat.B02,Fire.HazMat
Other,9,B08,39,Potentially Life-Threatening,Potentially Life-Threatening.Other.B08,Potentially Life-Threatening.Other
Structure Fire,575,B08,23,Fire,Fire.Structure Fire.B08,Fire.Structure Fire
Medical Incident,29406,B02,1,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B02,Potentially Life-Threatening.Medical Incident
Alarms,176,B07,22,Alarm,Alarm.Alarms.B07,Alarm.Alarms
Outside Fire,11,B06,20,Fire,Fire.Outside Fire.B06,Fire.Outside Fire
Medical Incident,8,B01,2,Alarm,Alarm.Medical Incident.B01,Alarm.Medical Incident
Medical Incident,6,B07,13,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Electrical Hazard,678,B08,23,Alarm,Alarm.Electrical Hazard.B08,Alarm.Electrical Hazard
Gas Leak (Natural and LP Gases),127,B99,51,Alarm,Alarm.Gas Leak (Natural and LP Gases).B99,Alarm.Gas Leak (Natural and LP Gases)
Traffic Collision,303,B01,41,Non Life-threatening,Non Life-threatening.Traffic Collision.B01,Non Life-threatening.Traffic Collision
Structure Fire,4008,B01,41,Alarm,Alarm.Structure Fire.B01,Alarm.Structure Fire
Elevator / Escalator Rescue,181,B03,3,Alarm,Alarm.Elevator / Escalator Rescue.B03,Alarm.Elevator / Escalator Rescue
Medical Incident,33,B99,10,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Fuel Spill,18,B03,48,Alarm,Alarm.Fuel Spill.B03,Alarm.Fuel Spill
Traffic Collision,486,B01,3,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B01,Potentially Life-Threatening.Traffic Collision
Explosion,5,B08,39,Fire,Fire.Explosion.B08,Fire.Explosion
Odor (Strange / Unknown),131,B02,36,Alarm,Alarm.Odor (Strange / Unknown).B02,Alarm.Odor (Strange / Unknown)
Gas Leak (Natural and LP Gases),191,B08,19,Alarm,Alarm.Gas Leak (Natural and LP Gases).B08,Alarm.Gas Leak (Natural and LP Gases)
Outside Fire,395,B09,33,Fire,Fire.Outside Fire.B09,Fire.Outside Fire
Structure Fire,376,B09,26,Alarm,Alarm.Structure Fire.B09,Alarm.Structure Fire
Traffic Collision,193,B09,26,Non Life-threatening,Non Life-threatening.Traffic Collision.B09,Non Life-threatening.Traffic Collision
Traffic Collision,25,B03,37,Non Life-threatening,Non Life-threatening.Traffic Collision.B03,Non Life-threatening.Traffic Collision
Alarms,1972,B08,33,Alarm,Alarm.Alarms.B08,Alarm.Alarms
Traffic Collision,644,B06,7,Non Life-threatening,Non Life-threatening.Traffic Collision.B06,Non Life-threatening.Traffic Collision
Structure Fire,6000,B06,7,Alarm,Alarm.Structure Fire.B06,Alarm.Structure Fire
Structure Fire,138,B03,37,Alarm,Alarm.Structure Fire.B03,Alarm.Structure Fire
Medical Incident,3,B99,39,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Structure Fire,317,B08,33,Alarm,Alarm.Structure Fire.B08,Alarm.Structure Fire
Traffic Collision,121,B08,33,Non Life-threatening,Non Life-threatening.Traffic Collision.B08,Non Life-threatening.Traffic Collision
Other,24,B10,9,Non Life-threatening,Non Life-threatening.Other.B10,Non Life-threatening.Other
Medical Incident,122,B05,10,Alarm,Alarm.Medical Incident.B05,Alarm.Medical Incident
Alarms,3608,B06,7,Alarm,Alarm.Alarms.B06,Alarm.Alarms
Medical Incident,3,B10,5,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B10,Potentially Life-Threatening.Medical Incident
Alarms,204,B03,37,Alarm,Alarm.Alarms.B03,Alarm.Alarms
Outside Fire,2,B09,44,Alarm,Alarm.Outside Fire.B09,Alarm.Outside Fire
Structure Fire,20,B02,37,Fire,Fire.Structure Fire.B02,Fire.Structure Fire
Alarms,277,B09,26,Alarm,Alarm.Alarms.B09,Alarm.Alarms
Outside Fire,153,B03,4,Fire,Fire.Outside Fire.B03,Fire.Outside Fire
Medical Incident,34940,B02,36,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Medical Incident,863,B05,24,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Other,1,B01,36,Alarm,Alarm.Other.B01,Alarm.Other
Oil Spill,1,B06,32,Alarm,Alarm.Oil Spill.B06,Alarm.Oil Spill
Vehicle Fire,3,B06,39,Fire,Fire.Vehicle Fire.B06,Fire.Vehicle Fire
Electrical Hazard,6,B02,37,Alarm,Alarm.Electrical Hazard.B02,Alarm.Electrical Hazard
Other,2,B07,12,Non Life-threatening,Non Life-threatening.Other.B07,Non Life-threatening.Other
Elevator / Escalator Rescue,96,B05,5,Alarm,Alarm.Elevator / Escalator Rescue.B05,Alarm.Elevator / Escalator Rescue
Structure Fire,435,B03,48,Fire,Fire.Structure Fire.B03,Fire.Structure Fire
Medical Incident,12079,B07,34,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Alarms,5355,B01,41,Alarm,Alarm.Alarms.B01,Alarm.Alarms
Structure Fire,17,B07,22,Alarm,Alarm.Structure Fire.B07,Alarm.Structure Fire
Traffic Collision,20,B07,22,Non Life-threatening,Non Life-threatening.Traffic Collision.B07,Non Life-threatening.Traffic Collision
Medical Incident,5,B09,48,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Medical Incident,4,B05,32,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Medical Incident,8479,B10,44,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B10,Potentially Life-Threatening.Medical Incident
Citizen Assist / Service Call,2,B06,25,Alarm,Alarm.Citizen Assist / Service Call.B06,Alarm.Citizen Assist / Service Call
Electrical Hazard,58,B03,48,Alarm,Alarm.Electrical Hazard.B03,Alarm.Electrical Hazard
Medical Incident,13262,B10,42,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B10,Potentially Life-Threatening.Medical Incident
Fuel Spill,35,B08,23,Alarm,Alarm.Fuel Spill.B08,Alarm.Fuel Spill
Gas Leak (Natural and LP Gases),236,B05,6,Alarm,Alarm.Gas Leak (Natural and LP Gases).B05,Alarm.Gas Leak (Natural and LP Gases)
Citizen Assist / Service Call,880,B04,38,Alarm,Alarm.Citizen Assist / Service Call.B04,Alarm.Citizen Assist / Service Call
Elevator / Escalator Rescue,26,B08,18,Alarm,Alarm.Elevator / Escalator Rescue.B08,Alarm.Elevator / Escalator Rescue
Medical Incident,18,B99,28,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Vehicle Fire,2,B08,24,Fire,Fire.Vehicle Fire.B08,Fire.Vehicle Fire
Medical Incident,3,B09,16,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Traffic Collision,10,B10,36,Non Life-threatening,Non Life-threatening.Traffic Collision.B10,Non Life-threatening.Traffic Collision
Outside Fire,1,B10,33,Fire,Fire.Outside Fire.B10,Fire.Outside Fire
Medical Incident,3,B04,7,Non Life-threatening,Non Life-threatening.Medical Incident.B04,Non Life-threatening.Medical Incident
Traffic Collision,6,B10,26,Non Life-threatening,Non Life-threatening.Traffic Collision.B10,Non Life-threatening.Traffic Collision
Watercraft in Distress,14,B01,28,Alarm,Alarm.Watercraft in Distress.B01,Alarm.Watercraft in Distress
Outside Fire,3,B02,1,Alarm,Alarm.Outside Fire.B02,Alarm.Outside Fire
Traffic Collision,544,B02,5,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B02,Potentially Life-Threatening.Traffic Collision
Confined Space / Structure Collapse,12,B05,6,Fire,Fire.Confined Space / Structure Collapse.B05,Fire.Confined Space / Structure Collapse
Suspicious Package,2,B03,36,Fire,Fire.Suspicious Package.B03,Fire.Suspicious Package
Medical Incident,758,B09,19,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Odor (Strange / Unknown),83,B01,13,Alarm,Alarm.Odor (Strange / Unknown).B01,Alarm.Odor (Strange / Unknown)
Traffic Collision,2,B02,44,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B02,Potentially Life-Threatening.Traffic Collision
Smoke Investigation (Outside),65,B04,41,Alarm,Alarm.Smoke Investigation (Outside).B04,Alarm.Smoke Investigation (Outside)
High Angle Rescue,10,B04,28,Fire,Fire.High Angle Rescue.B04,Fire.High Angle Rescue
Industrial Accidents,8,B01,1,Fire,Fire.Industrial Accidents.B01,Fire.Industrial Accidents
Traffic Collision,120,B09,42,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B09,Potentially Life-Threatening.Traffic Collision
Structure Fire,7201,B01,13,Alarm,Alarm.Structure Fire.B01,Alarm.Structure Fire
Outside Fire,353,B08,19,Fire,Fire.Outside Fire.B08,Fire.Outside Fire
Gas Leak (Natural and LP Gases),192,B09,33,Alarm,Alarm.Gas Leak (Natural and LP Gases).B09,Alarm.Gas Leak (Natural and LP Gases)
Traffic Collision,308,B09,44,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B09,Potentially Life-Threatening.Traffic Collision
Vehicle Fire,1,B02,41,Fire,Fire.Vehicle Fire.B02,Fire.Vehicle Fire
Traffic Collision,904,B01,13,Non Life-threatening,Non Life-threatening.Traffic Collision.B01,Non Life-threatening.Traffic Collision
Medical Incident,6,B10,1,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B10,Potentially Life-Threatening.Medical Incident
Explosion,15,B04,38,Fire,Fire.Explosion.B04,Fire.Explosion
Alarms,306,B09,19,Alarm,Alarm.Alarms.B09,Alarm.Alarms
HazMat,11,B01,2,Alarm,Alarm.HazMat.B01,Alarm.HazMat
Other,89,B09,43,Non Life-threatening,Non Life-threatening.Other.B09,Non Life-threatening.Other
Elevator / Escalator Rescue,14,B08,40,Alarm,Alarm.Elevator / Escalator Rescue.B08,Alarm.Elevator / Escalator Rescue
Other,44,B04,38,Potentially Life-Threatening,Potentially Life-Threatening.Other.B04,Potentially Life-Threatening.Other
Other,31,B04,28,Alarm,Alarm.Other.B04,Alarm.Other
Gas Leak (Natural and LP Gases),5,B06,20,Alarm,Alarm.Gas Leak (Natural and LP Gases).B06,Alarm.Gas Leak (Natural and LP Gases)
Outside Fire,141,B99,51,Fire,Fire.Outside Fire.B99,Fire.Outside Fire
Smoke Investigation (Outside),37,B09,39,Alarm,Alarm.Smoke Investigation (Outside).B09,Alarm.Smoke Investigation (Outside)
Other,11,B01,16,Alarm,Alarm.Other.B01,Alarm.Other
Outside Fire,4,B10,4,Alarm,Alarm.Outside Fire.B10,Alarm.Outside Fire
Confined Space / Structure Collapse,16,B03,1,Fire,Fire.Confined Space / Structure Collapse.B03,Fire.Confined Space / Structure Collapse
