Call Type,Incident Number,Battalion,Station Area,Call Type Group
Medical Incident,7132,B09,44,Potentially Life-Threatening
Medical Incident,14415,B01,13,Non Life-threatening
Traffic Collision,7,B10,01,Potentially Life-Threatening
Elevator / Escalator Rescue,4,B09,32,Alarm
Water Rescue,104,B03,04,Fire
Medical Incident,3397,B09,42,Potentially Life-Threatening
Other,9,B06,24,Potentially Life-Threatening
Medical Incident,7,B07,40,Potentially Life-Threatening
Odor (Strange / Unknown),13,B09,19,Alarm
Other,1,B10,29,Non Life-threatening
Medical Incident,1,B05,38,Potentially Life-Threatening
Outside Fire,1279,B03,01,Fire
Other,40,B06,32,Potentially Life-Threatening
Outside Fire,6,B10,42,Alarm
Traffic Collision,1,B07,03,Non Life-threatening
Explosion,18,B06,24,Fire
Outside Fire,7,B07,34,Alarm
HazMat,3,B02,07,Fire
Other,9,B08,39,Potentially Life-Threatening
Structure Fire,575,B08,23,Fire
Medical Incident,29406,B02,01,Potentially Life-Threatening
Alarms,176,B07,22,Alarm
Outside Fire,11,B06,20,Fire
Medical Incident,8,B01,02,Alarm
Medical Incident,6,B07,13,Potentially Life-Threatening
Electrical Hazard,678,B08,23,Alarm
Gas Leak (Natural and LP Gases),127,B99,51,Alarm
Traffic Collision,303,B01,41,Non Life-threatening
Structure Fire,4008,B01,41,Alarm
Elevator / Escalator Rescue,181,B03,03,Alarm
Medical Incident,33,B99,10,Potentially Life-Threatening
Fuel Spill,18,B03,48,Alarm
Traffic Collision,486,B01,03,Potentially Life-Threatening
Explosion,5,B08,39,Fire
Odor (Strange / Unknown),131,B02,36,Alarm
Gas Leak (Natural and LP Gases),191,B08,19,Alarm
Outside Fire,395,B09,33,Fire
Structure Fire,376,B09,26,Alarm
Traffic Collision,193,B09,26,Non Life-threatening
Traffic Collision,25,B03,37,Non Life-threatening
Alarms,1972,B08,33,Alarm
Traffic Collision,644,B06,07,Non Life-threatening
Structure Fire,6000,B06,07,Alarm
Structure Fire,138,B03,37,Alarm
Medical Incident,3,B99,39,Potentially Life-Threatening
Structure Fire,317,B08,33,Alarm
Traffic Collision,121,B08,33,Non Life-threatening
Other,24,B10,09,Non Life-threatening
Medical Incident,122,B05,10,Alarm
Alarms,3608,B06,07,Alarm
Medical Incident,3,B10,05,Potentially Life-Threatening
Alarms,204,B03,37,Alarm
Outside Fire,2,B09,44,Alarm
Structure Fire,20,B02,37,Fire
Alarms,277,B09,26,Alarm
Outside Fire,153,B03,04,Fire
Medical Incident,34940,B02,36,Non Life-threatening
Medical Incident,863,B05,24,Potentially Life-Threatening
Other,1,B01,36,Alarm
Oil Spill,1,B06,32,Alarm
Vehicle Fire,3,B06,39,Fire
Electrical Hazard,6,B02,37,Alarm
Other,2,B07,12,Non Life-threatening
Elevator / Escalator Rescue,96,B05,05,Alarm
Structure Fire,435,B03,48,Fire
Medical Incident,12079,B07,34,Potentially Life-Threatening
Alarms,5355,B01,41,Alarm
Structure Fire,17,B07,22,Alarm
Traffic Collision,20,B07,22,Non Life-threatening
Medical Incident,5,B09,48,Non Life-threatening
Medical Incident,4,B05,32,Potentially Life-Threatening
Medical Incident,8479,B10,44,Potentially Life-Threatening
Citizen Assist / Service Call,2,B06,25,Alarm
Electrical Hazard,58,B03,48,Alarm
Medical Incident,13262,B10,42,Potentially Life-Threatening
Fuel Spill,35,B08,23,Alarm
Gas Leak (Natural and LP Gases),236,B05,06,Alarm
Citizen Assist / Service Call,880,B04,38,Alarm
Elevator / Escalator Rescue,26,B08,18,Alarm
Medical Incident,18,B99,28,Potentially Life-Threatening
Vehicle Fire,2,B08,24,Fire
Medical Incident,3,B09,16,Non Life-threatening
Traffic Collision,10,B10,36,Non Life-threatening
Outside Fire,1,B10,33,Fire
Medical Incident,3,B04,07,Non Life-threatening
Traffic Collision,6,B10,26,Non Life-threatening
Watercraft in Distress,14,B01,28,Alarm
Outside Fire,3,B02,01,Alarm
Traffic Collision,544,B02,05,Potentially Life-Threatening
Confined Space / Structure Collapse,12,B05,06,Fire
Suspicious Package,2,B03,36,Fire
Medical Incident,758,B09,19,Non Life-threatening
Odor (Strange / Unknown),83,B01,13,Alarm
Traffic Collision,2,B02,44,Potentially Life-Threatening
Smoke Investigation (Outside),65,B04,41,Alarm
High Angle Rescue,10,B04,28,Fire
Industrial Accidents,8,B01,01,Fire
Traffic Collision,120,B09,42,Potentially Life-Threatening
Structure Fire,7201,B01,13,Alarm
Outside Fire,353,B08,19,Fire
Gas Leak (Natural and LP Gases),192,B09,33,Alarm
Traffic Collision,308,B09,44,Potentially Life-Threatening
Vehicle Fire,1,B02,41,Fire
Traffic Collision,904,B01,13,Non Life-threatening
Medical Incident,6,B10,01,Potentially Life-Threatening
Explosion,15,B04,38,Fire
Alarms,306,B09,19,Alarm
HazMat,11,B01,02,Alarm
Other,89,B09,43,Non Life-threatening
Elevator / Escalator Rescue,14,B08,40,Alarm
Other,44,B04,38,Potentially Life-Threatening
Other,31,B04,28,Alarm
Gas Leak (Natural and LP Gases),5,B06,20,Alarm
Outside Fire,141,B99,51,Fire
Smoke Investigation (Outside),37,B09,39,Alarm
Other,11,B01,16,Alarm
Outside Fire,4,B10,04,Alarm
Confined Space / Structure Collapse,16,B03,01,Fire
Medical Incident,5,B07,03,Non Life-threatening
Industrial Accidents,18,B10,17,Fire
Fuel Spill,26,B10,37,Alarm
Medical Incident,9,B02,48,Non Life-threatening
Traffic Collision,17,B99,10,Potentially Life-Threatening
Medical Incident,2,B01,11,Potentially Life-Threatening
Medical Incident,5772,B01,41,Non Life-threatening
Gas Leak (Natural and LP Gases),400,B03,01,Alarm
Outside Fire,3,B02,05,Alarm
Other,54,B02,29,Non Life-threatening
Traffic Collision,839,B02,01,Potentially Life-Threatening
Medical Incident,936,B09,26,Non Life-threatening
Electrical Hazard,1,B03,36,Alarm
Vehicle Fire,5,B01,16,Fire
Water Rescue,13,B99,35,Fire
Smoke Investigation (Outside),2,B09,28,Alarm
Medical Incident,226,B03,37,Non Life-threatening
Vehicle Fire,9,B04,28,Fire
Odor (Strange / Unknown),4,B08,33,Alarm
Medical Incident,11190,B06,07,Non Life-threatening
Medical Incident,10363,B01,03,Potentially Life-Threatening
Other,3,B02,,Non Life-threatening
Structure Fire,8,B03,36,Fire
Alarms,13729,B02,36,Alarm
Structure Fire,126,B04,05,Fire
Gas Leak (Natural and LP Gases),88,B06,26,Alarm
Vehicle Fire,133,B04,38,Fire
Electrical Hazard,10,B04,05,Alarm
Gas Leak (Natural and LP Gases),280,B01,28,Alarm
Smoke Investigation (Outside),18,B10,32,Alarm
Medical Incident,78,B01,,Potentially Life-Threatening
Medical Incident,3,B01,03,Alarm
Gas Leak (Natural and LP Gases),478,B04,16,Alarm
Other,139,B02,03,Non Life-threatening
Medical Incident,23,B99,15,Non Life-threatening
Medical Incident,4,B99,25,Potentially Life-Threatening
Medical Incident,1,B01,08,Non Life-threatening
Other,2,B02,08,Alarm
HazMat,9,B09,44,Alarm
Traffic Collision,744,B01,02,Potentially Life-Threatening
Electrical Hazard,34,B07,10,Alarm
Other,1,B06,11,Fire
Structure Fire,429,B07,10,Fire
Smoke Investigation (Outside),36,B05,05,Alarm
Citizen Assist / Service Call,3,B08,32,Alarm
Medical Incident,3,B09,20,Non Life-threatening
Other,1,B09,17,Non Life-threatening
Other,6,B01,16,Potentially Life-Threatening
Elevator / Escalator Rescue,63,B04,41,Alarm
Other,619,B04,38,Alarm
Medical Incident,38,B01,35,Potentially Life-Threatening
Medical Incident,24,B07,,Non Life-threatening
Medical Incident,3,B09,12,Non Life-threatening
Gas Leak (Natural and LP Gases),3,B05,02,Alarm
Smoke Investigation (Outside),71,B08,18,Alarm
Confined Space / Structure Collapse,22,B06,26,Fire
Vehicle Fire,13,B06,11,Alarm
Medical Incident,37,B07,08,Potentially Life-Threatening
"Extrication / Entrapped (Machinery, Vehicle)",2,B01,13,Fire
Confined Space / Structure Collapse,28,B01,28,Fire
Mutual Aid / Assist Outside Agency,156,B06,07,Fire
Medical Incident,2,B07,29,Non Life-threatening
Confined Space / Structure Collapse,10,B04,16,Fire
Industrial Accidents,7,B07,14,Fire
HazMat,9,B02,01,Alarm
HazMat,3,B99,51,Fire
Watercraft in Distress,14,B07,34,Fire
Medical Incident,2,B10,21,Non Life-threatening
Outside Fire,3,B01,02,Alarm
Outside Fire,52,B08,20,Fire
HazMat,7,B08,19,Fire
Assist Police,10,B04,38,Alarm
Other,1,B04,03,Fire
Medical Incident,4,B99,38,Potentially Life-Threatening
Medical Incident,1,B02,20,Non Life-threatening
Outside Fire,11,B08,12,Fire
Medical Incident,3,B02,12,Non Life-threatening
Alarms,21,B07,,Alarm
Smoke Investigation (Outside),63,B08,40,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",3,B07,22,Fire
Medical Incident,23,B07,34,Alarm
Medical Incident,4,B10,14,Non Life-threatening
Water Rescue,11,B07,34,Potentially Life-Threatening
Citizen Assist / Service Call,28,B04,28,Alarm
Odor (Strange / Unknown),3,B07,10,Fire
Structure Fire,10,B02,21,Alarm
Medical Incident,11,B10,44,Alarm
Medical Incident,4,B04,33,Non Life-threatening
Medical Incident,18,B10,42,Alarm
Outside Fire,89,B10,07,Fire
Citizen Assist / Service Call,17,B01,16,Alarm
Water Rescue,1228,B01,28,Fire
Gas Leak (Natural and LP Gases),207,B02,07,Alarm
Water Rescue,576,B04,16,Fire
Traffic Collision,5,B03,07,Potentially Life-Threatening
Medical Incident,8795,B05,10,Potentially Life-Threatening
Water Rescue,19,B06,26,Fire
Other,1,B04,25,Alarm
HazMat,3,B02,05,Alarm
Vehicle Fire,43,B04,41,Fire
Citizen Assist / Service Call,1,B03,06,Alarm
Traffic Collision,1,B99,22,Non Life-threatening
Medical Incident,2,B99,34,Potentially Life-Threatening
Odor (Strange / Unknown),6,B08,12,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",4,B99,51,Fire
Odor (Strange / Unknown),7,B08,20,Alarm
Odor (Strange / Unknown),3,B01,02,Fire
Medical Incident,7,B99,17,Non Life-threatening
Medical Incident,13159,B01,28,Non Life-threatening
Medical Incident,8,B06,36,Non Life-threatening
Medical Incident,8681,B04,16,Non Life-threatening
Traffic Collision,16,B99,06,Non Life-threatening
Medical Incident,2784,B06,26,Non Life-threatening
Citizen Assist / Service Call,929,B08,18,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",5,B08,19,Fire
Alarms,4261,B02,07,Alarm
Medical Incident,1,B09,07,Non Life-threatening
Citizen Assist / Service Call,73,B10,32,Alarm
Other,207,B04,41,Alarm
Elevator / Escalator Rescue,330,B04,38,Alarm
Explosion,10,B08,40,Fire
Outside Fire,3,B04,05,Alarm
Other,16,B03,13,Non Life-threatening
Traffic Collision,2,B05,,Non Life-threatening
HazMat,4,B03,48,Alarm
Alarms,3,B06,19,Alarm
Train / Rail Incident,7,B10,37,Fire
Structure Fire,27,B05,,Alarm
Medical Incident,9,B10,37,Alarm
Gas Leak (Natural and LP Gases),3,B07,,Alarm
Odor (Strange / Unknown),4,B10,07,Alarm
Medical Incident,1,B05,02,Non Life-threatening
Citizen Assist / Service Call,517,B05,05,Alarm
Other,32,B08,40,Potentially Life-Threatening
Other,2,B04,,Non Life-threatening
Other,68,B09,15,Non Life-threatening
Smoke Investigation (Outside),4,B04,28,Alarm
Outside Fire,1,B07,51,Fire
Outside Fire,1,B02,21,Fire
Marine Fire,8,B03,35,Fire
Smoke Investigation (Outside),1,B01,16,Alarm
Traffic Collision,55,B10,07,Non Life-threatening
Other,137,B09,39,Alarm
Structure Fire,375,B10,07,Alarm
Explosion,13,B08,18,Fire
Water Rescue,12,B07,,Fire
Medical Incident,14,B04,36,Non Life-threatening
Medical Incident,171,B99,03,Non Life-threatening
Medical Incident,6,B08,31,Non Life-threatening
Other,1,B03,51,Alarm
Traffic Collision,1,B99,40,Potentially Life-Threatening
Medical Incident,14,B99,41,Potentially Life-Threatening
Medical Incident,41,B99,11,Non Life-threatening
Other,8,B08,18,Potentially Life-Threatening
Watercraft in Distress,24,B08,23,Fire
Assist Police,2,B04,41,Alarm
Medical Incident,2,B06,19,Non Life-threatening
Industrial Accidents,22,B03,08,Fire
Vehicle Fire,5,B03,09,Fire
Alarms,3,B06,36,Alarm
Alarms,7576,B04,16,Alarm
Vehicle Fire,7,B09,39,Fire
Alarms,8766,B01,28,Alarm
Explosion,4,B05,05,Fire
Other,39,B08,22,Non Life-threatening
Medical Incident,15049,B02,07,Non Life-threatening
Alarms,1806,B06,26,Alarm
Other,34,B10,32,Potentially Life-Threatening
Fuel Spill,16,B05,10,Alarm
Traffic Collision,360,B04,05,Potentially Life-Threatening
Structure Fire,76,B08,12,Alarm
Traffic Collision,274,B07,10,Potentially Life-Threatening
Electrical Hazard,51,B01,02,Alarm
Traffic Collision,45,B08,12,Non Life-threatening
Citizen Assist / Service Call,2,B05,01,Alarm
Medical Incident,13,B08,23,Alarm
Citizen Assist / Service Call,571,B08,40,Alarm
Medical Incident,2,B05,09,Non Life-threatening
Other,3,B10,10,Alarm
Other,9,B05,05,Potentially Life-Threatening
Traffic Collision,97,B08,20,Non Life-threatening
Structure Fire,530,B08,20,Alarm
Structure Fire,778,B01,02,Fire
HazMat,38,B01,13,Fire
Explosion,6,B10,32,Fire
Marine Fire,15,B03,29,Fire
Medical Incident,61,B03,31,Potentially Life-Threatening
Aircraft Emergency,16,B07,34,Alarm
Structure Fire,16,B10,33,Alarm
Medical Incident,13233,B08,23,Potentially Life-Threatening
Fuel Spill,45,B10,42,Alarm
Electrical Hazard,2,B99,10,Alarm
Fuel Spill,47,B10,44,Alarm
Structure Fire,253,B02,01,Fire
Traffic Collision,1,B10,33,Non Life-threatening
Alarms,26224,B03,01,Alarm
Medical Incident,8990,B05,06,Non Life-threatening
Vehicle Fire,76,B08,18,Fire
Fuel Spill,28,B07,34,Alarm
Odor (Strange / Unknown),24,B99,51,Alarm
Electrical Hazard,14,B02,01,Alarm
Outside Fire,7,B10,36,Fire
Other,305,B05,05,Alarm
Other,92,B06,11,Non Life-threatening
Gas Leak (Natural and LP Gases),439,B02,36,Alarm
Medical Incident,3,B05,22,Non Life-threatening
Fuel Spill,5,B05,24,Alarm
Traffic Collision,51,B03,36,Potentially Life-Threatening
Medical Incident,47,B99,35,Non Life-threatening
Confined Space / Structure Collapse,6,B09,19,Fire
Other,43,B10,32,Alarm
Citizen Assist / Service Call,310,B04,41,Alarm
Odor (Strange / Unknown),52,B08,19,Alarm
Structure Fire,663,B03,04,Alarm
Confined Space / Structure Collapse,9,B02,36,Fire
HazMat,5,B07,10,Alarm
Traffic Collision,3,B04,31,Non Life-threatening
Other,424,B08,18,Alarm
Traffic Collision,219,B03,04,Non Life-threatening
Medical Incident,21,B99,08,Potentially Life-Threatening
Electrical Hazard,73,B09,44,Alarm
Electrical Hazard,64,B09,42,Alarm
Traffic Collision,3,B99,02,Non Life-threatening
Outside Fire,18,B08,33,Fire
Vehicle Fire,69,B05,05,Fire
Gas Leak (Natural and LP Gases),17,B09,19,Alarm
Traffic Collision,1,B04,21,Non Life-threatening
Traffic Collision,1,B08,26,Non Life-threatening
Medical Incident,20,B99,29,Non Life-threatening
Alarms,2701,B09,33,Alarm
Structure Fire,311,B09,44,Fire
Structure Fire,160,B09,42,Fire
Citizen Assist / Service Call,1,B03,02,Alarm
Medical Incident,6,B03,05,Non Life-threatening
Odor (Strange / Unknown),1,B02,05,Fire
Smoke Investigation (Outside),75,B04,38,Alarm
Outside Fire,3,B03,48,Alarm
Vehicle Fire,23,B10,32,Fire
Outside Fire,27,B07,22,Fire
HazMat,5,B04,05,Alarm
Other,55,B05,21,Non Life-threatening
Medical Incident,2,B01,15,Potentially Life-Threatening
Alarms,58,B06,20,Alarm
Assist Police,7,B08,40,Alarm
Medical Incident,9,B99,,Non Life-threatening
Explosion,18,B04,41,Fire
Structure Fire,424,B02,05,Fire
Medical Incident,9009,B10,37,Potentially Life-Threatening
Other,2,B09,25,Alarm
Alarms,6,B99,,Alarm
Electrical Hazard,48,B02,05,Alarm
Medical Incident,95,B06,20,Non Life-threatening
Other,364,B08,40,Alarm
Other,123,B04,03,Non Life-threatening
Confined Space / Structure Collapse,3,B01,41,Fire
Assist Police,9,B08,18,Alarm
Elevator / Escalator Rescue,3,B04,28,Alarm
Other,4,B04,08,Alarm
Traffic Collision,8,B10,47,Potentially Life-Threatening
Odor (Strange / Unknown),3,B03,04,Alarm
Elevator / Escalator Rescue,3,B01,16,Alarm
Suspicious Package,3,B02,01,Fire
Confined Space / Structure Collapse,8,B09,26,Fire
Medical Incident,6326,B09,33,Non Life-threatening
Alarms,5,B99,35,Alarm
Fuel Spill,12,B01,03,Alarm
Medical Incident,3,B01,38,Non Life-threatening
Gas Leak (Natural and LP Gases),26,B09,26,Alarm
Vehicle Fire,79,B08,40,Fire
Outside Fire,975,B01,13,Fire
Structure Fire,2651,B08,19,Alarm
Traffic Collision,1307,B08,19,Non Life-threatening
Assist Police,1,B10,32,Alarm
Traffic Collision,4,B99,09,Non Life-threatening
Traffic Collision,18,B02,37,Potentially Life-Threatening
Gas Leak (Natural and LP Gases),13,B03,37,Alarm
Gas Leak (Natural and LP Gases),359,B06,07,Alarm
Medical Incident,51699,B03,01,Non Life-threatening
Alarms,3534,B05,06,Alarm
Traffic Collision,2,B06,21,Non Life-threatening
Electrical Hazard,1,B10,04,Alarm
Suspicious Package,2,B09,44,Fire
Structure Fire,427,B99,51,Alarm
Citizen Assist / Service Call,238,B09,39,Alarm
Traffic Collision,940,B03,48,Potentially Life-Threatening
Assist Police,4,B05,05,Alarm
Medical Incident,12,B99,43,Non Life-threatening
Gas Leak (Natural and LP Gases),299,B01,41,Alarm
Traffic Collision,504,B99,51,Non Life-threatening
Alarms,3509,B99,51,Alarm
Other,51,B05,12,Non Life-threatening
Gas Leak (Natural and LP Gases),8,B07,22,Alarm
Smoke Investigation (Outside),18,B08,39,Alarm
Citizen Assist / Service Call,322,B03,35,Alarm
Outside Fire,7,B10,37,Alarm
Medical Incident,2,B05,17,Non Life-threatening
Medical Incident,2,B10,33,Non Life-threatening
Traffic Collision,783,B08,23,Potentially Life-Threatening
Structure Fire,4184,B05,06,Alarm
Medical Incident,10,B07,10,Alarm
Odor (Strange / Unknown),169,B03,01,Alarm
Traffic Collision,423,B05,06,Non Life-threatening
Gas Leak (Natural and LP Gases),45,B08,33,Alarm
Outside Fire,27,B09,19,Fire
Other,12,B08,34,Alarm
Medical Incident,7,B04,05,Alarm
Industrial Accidents,14,B09,15,Fire
Alarms,6026,B08,19,Alarm
Electrical Hazard,11,B01,03,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",6,B02,07,Fire
Traffic Collision,2,B05,22,Non Life-threatening
Medical Incident,9,B07,32,Potentially Life-Threatening
Other,394,B10,25,Alarm
Structure Fire,278,B01,03,Fire
Assist Police,5,B03,03,Alarm
Medical Incident,2660,B03,36,Potentially Life-Threatening
Traffic Collision,2,B99,35,Non Life-threatening
Medical Incident,6,B05,34,Potentially Life-Threatening
Elevator / Escalator Rescue,35,B04,10,Alarm
Medical Incident,5,B04,21,Non Life-threatening
Citizen Assist / Service Call,1,B03,,Alarm
Odor (Strange / Unknown),57,B09,33,Alarm
Traffic Collision,11,B99,29,Non Life-threatening
Suspicious Package,9,B10,44,Fire
Water Rescue,552,B01,13,Fire
Outside Fire,1402,B02,36,Fire
Medical Incident,1880,B03,04,Non Life-threatening
Medical Incident,8,B04,31,Non Life-threatening
Smoke Investigation (Outside),57,B06,24,Alarm
Medical Incident,3,B08,36,Non Life-threatening
Medical Incident,11,B99,02,Non Life-threatening
Citizen Assist / Service Call,1,B10,39,Alarm
Citizen Assist / Service Call,127,B03,29,Alarm
Smoke Investigation (Outside),112,B06,32,Alarm
Other,1,B03,17,Alarm
Traffic Collision,1,B99,,Non Life-threatening
Assist Police,2,B09,32,Alarm
Fuel Spill,7,B02,05,Alarm
Vehicle Fire,320,B10,25,Fire
Traffic Collision,29,B06,20,Non Life-threatening
Medical Incident,2,B03,16,Potentially Life-Threatening
Structure Fire,54,B06,20,Alarm
Other,54,B03,35,Potentially Life-Threatening
Outside Fire,205,B01,41,Fire
Medical Incident,4,B08,48,Non Life-threatening
Other,159,B09,32,Alarm
Vehicle Fire,17,B03,03,Fire
Outside Fire,9,B08,23,Alarm
Traffic Collision,357,B10,37,Potentially Life-Threatening
Structure Fire,2489,B09,33,Alarm
Gas Leak (Natural and LP Gases),190,B01,13,Alarm
Fuel Spill,5,B09,42,Alarm
Outside Fire,60,B09,26,Fire
Medical Incident,14,B05,03,Non Life-threatening
Fuel Spill,8,B09,44,Alarm
Traffic Collision,930,B09,33,Non Life-threatening
Explosion,24,B03,35,Fire
Outside Fire,695,B06,07,Fire
Outside Fire,29,B03,37,Fire
Alarms,2430,B03,04,Alarm
Medical Incident,7,B06,14,Non Life-threatening
Other,2,B08,,Non Life-threatening
Medical Incident,176,B10,47,Potentially Life-Threatening
Confined Space / Structure Collapse,9,B01,13,Fire
Medical Incident,7920,B08,19,Non Life-threatening
Medical Incident,14,B99,09,Non Life-threatening
Medical Incident,118,B02,37,Potentially Life-Threatening
Electrical Hazard,12,B05,24,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",6,B06,26,Fire
Traffic Collision,3,B05,13,Potentially Life-Threatening
Assist Police,3,B10,25,Alarm
Structure Fire,130,B05,24,Fire
Explosion,33,B03,29,Fire
Citizen Assist / Service Call,2,B99,01,Alarm
Vehicle Fire,89,B09,32,Fire
Other,162,B03,03,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",4,B01,28,Fire
Other,131,B03,08,Non Life-threatening
Medical Incident,5582,B03,48,Potentially Life-Threatening
Fuel Spill,3,B99,10,Alarm
Traffic Collision,2,B99,43,Non Life-threatening
Electrical Hazard,113,B10,44,Alarm
