Call Type Group,Call Type,Battalion,Station Area
Non Life-threatening,Medical Incident,B99,01
Non Life-threatening,Traffic Collision,B03,07
Alarm,Alarms,B02,06
Alarm,Odor (Strange / Unknown),B10,42
Alarm,Odor (Strange / Unknown),B10,44
Alarm,Smoke Investigation (Outside),B06,24
Potentially Life-Threatening,Medical Incident,B08,18
Fire,Confined Space / Structure Collapse,B06,11
Potentially Life-Threatening,Medical Incident,B07,11
Fire,Marine Fire,B07,34
Alarm,Alarms,B10,04
Alarm,Citizen Assist / Service Call,B03,03
Alarm,Citizen Assist / Service Call,B01,13
Alarm,Assist Police,B02,05
Alarm,Other,B99,38
Alarm,Assist Police,B10,17
Non Life-threatening,Medical Incident,B02,38
Alarm,Odor (Strange / Unknown),B08,39
Fire,Water Rescue,B04,51
Potentially Life-Threatening,Medical Incident,B07,03
Alarm,Assist Police,B03,35
Alarm,Smoke Investigation (Outside),B06,32
Non Life-threatening,Medical Incident,B09,32
Non Life-threatening,Medical Incident,B05,09
Alarm,Elevator / Escalator Rescue,B10,17
Potentially Life-Threatening,Traffic Collision,B06,26
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B01,02
Non Life-threatening,Traffic Collision,B10,26
Fire,Industrial Accidents,B09,43
Alarm,Citizen Assist / Service Call,B04,28
Fire,Vehicle Fire,B05,06
Non Life-threatening,Medical Incident,B09,13
Alarm,Elevator / Escalator Rescue,B03,35
Fire,HazMat,B09,33
Alarm,Gas Leak (Natural and LP Gases),B02,06
Alarm,Smoke Investigation (Outside),B06,13
Non Life-threatening,Traffic Collision,B10,36
Potentially Life-Threatening,Other,B03,08
Fire,Explosion,B04,05
Potentially Life-Threatening,Medical Incident,B09,35
Potentially Life-Threatening,Medical Incident,B05,34
Alarm,Other,B04,25
Potentially Life-Threatening,Traffic Collision,B04,31
Alarm,Medical Incident,B07,34
Potentially Life-Threatening,Traffic Collision,B03,01
Potentially Life-Threatening,Traffic Collision,B01,16
Alarm,Alarms,B05,28
Alarm,Elevator / Escalator Rescue,B02,05
Non Life-threatening,Other,B01,41
Alarm,Elevator / Escalator Rescue,B05,12
Non Life-threatening,Medical Incident,B04,05
Fire,Structure Fire,B04,28
Potentially Life-Threatening,Medical Incident,B99,07
Alarm,Alarms,B09,15
Non Life-threatening,Medical Incident,B07,10
Alarm,Citizen Assist / Service Call,B03,15
Alarm,Medical Incident,B09,39
Non Life-threatening,Medical Incident,B09,40
Alarm,Structure Fire,B05,10
Potentially Life-Threatening,Other,B06,09
Non Life-threatening,Other,B10,09
Potentially Life-Threatening,Other,B01,02
Alarm,Smoke Investigation (Outside),B10,29
Alarm,Alarms,B10,47
Potentially Life-Threatening,Medical Incident,B02,09
Alarm,Elevator / Escalator Rescue,B03,29
Fire,Industrial Accidents,B03,04
Alarm,Structure Fire,B06,07
Alarm,Alarms,B99,16
Alarm,Assist Police,B04,38
Alarm,Citizen Assist / Service Call,B99,08
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B03,08
Alarm,Medical Incident,B10,07
Alarm,Odor (Strange / Unknown),B10,37
Fire,High Angle Rescue,B05,06
Alarm,Odor (Strange / Unknown),B06,07
Fire,Outside Fire,B08,23
Alarm,Smoke Investigation (Outside),B01,13
Alarm,Smoke Investigation (Outside),B03,03
Potentially Life-Threatening,Other,B09,26
Alarm,Structure Fire,B10,37
Alarm,Elevator / Escalator Rescue,B04,41
Potentially Life-Threatening,Medical Incident,B03,04
Alarm,Other,B04,38
Non Life-threatening,Medical Incident,B05,02
Non Life-threatening,Other,B08,33
Fire,Water Rescue,B99,51
Alarm,Citizen Assist / Service Call,B06,24
Alarm,Citizen Assist / Service Call,B06,32
Alarm,Other,B08,31
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B04,03
Potentially Life-Threatening,Water Rescue,B04,16
Non Life-threatening,Medical Incident,B99,37
Fire,Outside Fire,B09,07
Alarm,Other,B02,37
Alarm,Odor (Strange / Unknown),B05,10
Alarm,Elevator / Escalator Rescue,B02,01
Alarm,Gas Leak (Natural and LP Gases),B04,16
Non Life-threatening,Medical Incident,B03,21
Alarm,Electrical Hazard,B04,05
Potentially Life-Threatening,Traffic Collision,B05,13
Non Life-threatening,Medical Incident,B04,01
Alarm,Electrical Hazard,B07,10
Non Life-threatening,Medical Incident,B03,31
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B09,26
Alarm,Electrical Hazard,B09,40
Fire,Structure Fire,B06,24
Fire,Outside Fire,B99,35
Fire,Structure Fire,B06,32
Non Life-threatening,Medical Incident,B02,41
Alarm,Medical Incident,B08,22
Potentially Life-Threatening,Traffic Collision,B02,29
Potentially Life-Threatening,Other,B04,03
Potentially Life-Threatening,Medical Incident,B09,43
Potentially Life-Threatening,Medical Incident,B02,02
Fire,Water Rescue,B10,32
Non Life-threatening,Traffic Collision,B03,36
Alarm,Assist Police,B06,24
Fire,Vehicle Fire,B02,41
Non Life-threatening,Medical Incident,B02,08
Potentially Life-Threatening,Medical Incident,B01,14
Non Life-threatening,Other,B09,42
Fire,Water Rescue,B07,14
Non Life-threatening,Other,B09,44
Alarm,Gas Leak (Natural and LP Gases),B03,04
Alarm,HazMat,B09,32
Non Life-threatening,Medical Incident,B01,04
Potentially Life-Threatening,Traffic Collision,B02,11
Alarm,Smoke Investigation (Outside),B02,05
Potentially Life-Threatening,Traffic Collision,B02,03
Alarm,Smoke Investigation (Outside),B10,17
Non Life-threatening,Traffic Collision,B07,38
Potentially Life-Threatening,Traffic Collision,B10,01
Potentially Life-Threatening,Medical Incident,B09,17
Alarm,Smoke Investigation (Outside),B03,35
Alarm,Assist Police,B06,32
Fire,Outside Fire,B09,33
Potentially Life-Threatening,Medical Incident,B04,16
Alarm,Smoke Investigation (Outside),B03,29
Alarm,Alarms,B08,40
Potentially Life-Threatening,Medical Incident,B01,21
Fire,Other,B06,07
Alarm,Smoke Investigation (Outside),B05,12
Alarm,Odor (Strange / Unknown),B03,37
Fire,Other,B05,10
Fire,Vehicle Fire,B03,14
Alarm,Smoke Investigation (Outside),B05,20
Alarm,Gas Leak (Natural and LP Gases),B09,43
Potentially Life-Threatening,Medical Incident,B08,10
Alarm,Electrical Hazard,B05,06
Alarm,Other,B04,28
Fire,Outside Fire,B10,25
Fire,Structure Fire,B02,37
Alarm,Structure Fire,B03,37
Non Life-threatening,Other,B05,21
Non Life-threatening,Medical Incident,B06,04
Potentially Life-Threatening,Medical Incident,B10,04
Fire,Explosion,B05,06
Alarm,Alarms,B08,18
Potentially Life-Threatening,Medical Incident,B02,06
Potentially Life-Threatening,Medical Incident,B06,14
Potentially Life-Threatening,Traffic Collision,B10,42
Non Life-threatening,Medical Incident,B10,14
Potentially Life-Threatening,Traffic Collision,B10,44
Alarm,Smoke Investigation (Outside),B02,01
Potentially Life-Threatening,Medical Incident,B09,03
Potentially Life-Threatening,Medical Incident,B09,11
Fire,Other,B10,37
Fire,Vehicle Fire,B04,05
Potentially Life-Threatening,Traffic Collision,B06,20
Fire,Structure Fire,B04,38
Fire,Vehicle Fire,B07,10
Alarm,Fuel Spill,B03,48
Alarm,Structure Fire,B05,24
Alarm,Elevator / Escalator Rescue,B03,03
Potentially Life-Threatening,Traffic Collision,B10,05
Alarm,Elevator / Escalator Rescue,B01,13
Fire,Outside Fire,B07,12
Potentially Life-Threatening,Traffic Collision,B08,39
Alarm,Smoke Investigation (Outside),B04,41
Alarm,Structure Fire,B99,14
Fire,Industrial Accidents,B04,16
Non Life-threatening,Traffic Collision,B01,01
Potentially Life-Threatening,Medical Incident,B99,33
Fire,Outside Fire,B03,28
Alarm,Fuel Spill,B01,01
Alarm,Citizen Assist / Service Call,B02,37
Alarm,Structure Fire,B07,22
Non Life-threatening,Traffic Collision,B03,48
Alarm,Other,B06,32
Alarm,Electrical Hazard,B08,15
Non Life-threatening,Medical Incident,B05,22
Non Life-threatening,Medical Incident,B10,21
Alarm,Alarms,B05,38
Alarm,Citizen Assist / Service Call,B04,38
Alarm,Assist Police,B99,08
Alarm,Other,B06,24
Alarm,Citizen Assist / Service Call,B01,10
Non Life-threatening,Medical Incident,B05,06
Potentially Life-Threatening,Medical Incident,B04,36
Fire,Water Rescue,B10,25
Fire,Watercraft in Distress,B05,16
Potentially Life-Threatening,Medical Incident,B02,11
Non Life-threatening,Other,B02,01
Alarm,Outside Fire,B10,07
Alarm,Alarms,B99,31
Non Life-threatening,Medical Incident,B03,36
Non Life-threatening,Traffic Collision,B02,08
Alarm,Assist Police,B08,19
Alarm,Smoke Investigation (Outside),B05,21
Potentially Life-Threatening,Medical Incident,B09,22
Non Life-threatening,Other,B04,41
Alarm,Elevator / Escalator Rescue,B08,33
Alarm,Citizen Assist / Service Call,B01,39
Non Life-threatening,Medical Incident,B01,05
Alarm,Electrical Hazard,B01,01
Fire,Structure Fire,B01,28
Potentially Life-Threatening,Medical Incident,B09,06
Fire,HazMat,B02,07
Fire,HazMat,B99,51
Alarm,Alarms,B07,22
Potentially Life-Threatening,Medical Incident,B02,03
Potentially Life-Threatening,Medical Incident,B10,01
Non Life-threatening,Medical Incident,B06,01
Potentially Life-Threatening,Other,B06,11
Alarm,Alarms,B99,14
Fire,Water Rescue,B03,28
Alarm,Electrical Hazard,B03,48
Non Life-threatening,Traffic Collision,B08,15
Alarm,Medical Incident,B09,32
Alarm,Alarms,B05,24
Alarm,Citizen Assist / Service Call,B99,18
Non Life-threatening,Medical Incident,B05,03
Potentially Life-Threatening,Traffic Collision,B04,16
Alarm,Odor (Strange / Unknown),B08,40
Alarm,Outside Fire,B07,34
Alarm,Citizen Assist / Service Call,B01,28
Alarm,Structure Fire,B08,18
Alarm,Alarms,B03,37
Fire,Industrial Accidents,B10,44
Alarm,Gas Leak (Natural and LP Gases),B02,29
Alarm,Smoke Investigation (Outside),B09,44
Fire,Outside Fire,B10,32
Alarm,Odor (Strange / Unknown),B08,18
Alarm,Smoke Investigation (Outside),B09,42
Non Life-threatening,Medical Incident,B06,44
Potentially Life-Threatening,Medical Incident,B10,44
Non Life-threatening,Other,B02,05
Potentially Life-Threatening,Medical Incident,B10,42
Non Life-threatening,Medical Incident,B06,42
Potentially Life-Threatening,Traffic Collision,B02,06
Alarm,Gas Leak (Natural and LP Gases),B06,26
Alarm,Electrical Hazard,B03,36
Fire,Outside Fire,B07,14
Alarm,Fuel Spill,B05,06
Alarm,Outside Fire,B08,22
Alarm,Gas Leak (Natural and LP Gases),B01,16
Potentially Life-Threatening,Medical Incident,B06,12
Non Life-threatening,Other,B03,35
Alarm,Gas Leak (Natural and LP Gases),B03,01
Potentially Life-Threatening,Medical Incident,B08,39
Non Life-threatening,Medical Incident,B01,01
Fire,Explosion,B03,48
Alarm,Citizen Assist / Service Call,B08,20
Alarm,Structure Fire,B08,40
Potentially Life-Threatening,Medical Incident,B06,20
Non Life-threatening,Other,B10,17
Non Life-threatening,Medical Incident,B06,23
Alarm,Citizen Assist / Service Call,B08,12
Potentially Life-Threatening,Medical Incident,B10,05
Fire,Explosion,B01,01
Non Life-threatening,Traffic Collision,B05,22
Non Life-threatening,Medical Incident,B03,48
Fire,Outside Fire,B07,31
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B03,13
Fire,Industrial Accidents,B02,03
Fire,Outside Fire,B07,21
Non Life-threatening,Other,B03,29
Non Life-threatening,Medical Incident,B05,17
Alarm,Elevator / Escalator Rescue,B10,09
Alarm,Other,B04,10
Alarm,Other,B07,23
Potentially Life-Threatening,Other,B05,05
Potentially Life-Threatening,Traffic Collision,B04,36
Fire,Structure Fire,B08,20
Non Life-threatening,Traffic Collision,B05,06
Alarm,Alarms,B08,34
Alarm,Elevator / Escalator Rescue,B01,41
Non Life-threatening,Other,B05,12
Alarm,Vehicle Fire,B06,11
Alarm,Other,B08,19
Fire,Structure Fire,B08,12
Fire,Industrial Accidents,B02,29
Fire,Water Rescue,B08,23
Alarm,HazMat,B09,39
Alarm,Gas Leak (Natural and LP Gases),B10,44
Potentially Life-Threatening,Medical Incident,B06,36
Alarm,Gas Leak (Natural and LP Gases),B10,42
Alarm,Smoke Investigation (Outside),B08,33
Alarm,Citizen Assist / Service Call,B07,01
Potentially Life-Threatening,Medical Incident,B06,26
Non Life-threatening,Other,B03,03
Fire,Outside Fire,B02,07
Fire,Outside Fire,B99,51
Alarm,Other,B01,28
Non Life-threatening,Other,B01,13
Potentially Life-Threatening,Medical Incident,B01,16
Alarm,Fuel Spill,B07,10
Alarm,Fuel Spill,B04,05
Alarm,HazMat,B10,07
Potentially Life-Threatening,Medical Incident,B03,01
Alarm,Gas Leak (Natural and LP Gases),B08,39
Potentially Life-Threatening,Medical Incident,B04,21
Fire,Vehicle Fire,B03,48
Fire,Watercraft in Distress,B03,29
Alarm,Gas Leak (Natural and LP Gases),B06,20
Alarm,Assist Police,B08,20
Alarm,Elevator / Escalator Rescue,B05,21
Potentially Life-Threatening,Medical Incident,B04,31
Potentially Life-Threatening,Other,B02,36
Fire,Watercraft in Distress,B03,35
Fire,Vehicle Fire,B01,01
Potentially Life-Threatening,Traffic Collision,B09,29
Potentially Life-Threatening,Medical Incident,B01,48
Fire,Train / Rail Incident,B03,29
Fire,Watercraft in Distress,B10,17
Alarm,Odor (Strange / Unknown),B09,15
Potentially Life-Threatening,Traffic Collision,B99,07
Non Life-threatening,Traffic Collision,B07,10
Fire,Water Rescue,B99,35
Non Life-threatening,Traffic Collision,B04,05
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B02,36
Fire,Train / Rail Incident,B05,12
Alarm,Alarms,B10,37
Alarm,HazMat,B07,34
Potentially Life-Threatening,Traffic Collision,B02,09
Potentially Life-Threatening,Traffic Collision,B03,04
Alarm,Oil Spill,B06,32
Alarm,Citizen Assist / Service Call,B08,19
Potentially Life-Threatening,Medical Incident,B02,35
Non Life-threatening,Traffic Collision,B05,02
Fire,Confined Space / Structure Collapse,B08,23
Potentially Life-Threatening,Traffic Collision,B08,24
Potentially Life-Threatening,Medical Incident,B03,44
Alarm,Alarms,B06,07
Fire,Train / Rail Incident,B02,01
Alarm,Citizen Assist / Service Call,B04,10
Alarm,Structure Fire,B99,16
Potentially Life-Threatening,Medical Incident,B03,42
Non Life-threatening,Medical Incident,B05,29
Potentially Life-Threatening,Medical Incident,B01,36
Alarm,Citizen Assist / Service Call,B06,25
Alarm,Elevator / Escalator Rescue,B09,42
Non Life-threatening,Traffic Collision,B99,37
Alarm,Structure Fire,B10,47
Potentially Life-Threatening,Medical Incident,B03,05
Alarm,Elevator / Escalator Rescue,B09,44
Alarm,Alarms,B05,10
Alarm,HazMat,B08,22
Alarm,Structure Fire,B09,15
Alarm,Gas Leak (Natural and LP Gases),B02,03
Potentially Life-Threatening,Medical Incident,B08,25
Alarm,Other,B99,13
Fire,HazMat,B07,14
Non Life-threatening,Medical Incident,B02,13
Alarm,Smoke Investigation (Outside),B10,09
